,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour,Drop Hour,Request Timeslot,Drop Timeslot,Request dayofweek,Drop dayofweek,Trip Duration,Supply_Gap
0,619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,13.0,Morning,Afternoon,Monday,Monday,69.0,Supply
1,867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17,18.0,Evening,Evening,Monday,Monday,50.0,Supply
2,1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9,9.0,Morning,Morning,Tuesday,Tuesday,41.0,Supply
3,2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21,22.0,Night,Night,Tuesday,Tuesday,55.0,Supply
4,3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,9.0,Morning,Morning,Wednesday,Wednesday,52.52,Supply
5,3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,22.0,Night,Night,Wednesday,Wednesday,31.52,Supply
6,4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,7.0,Early Morning,Early Morning,Thursday,Thursday,57.72,Supply
7,5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,6.0,Early Morning,Early Morning,Friday,Friday,56.0,Supply
8,6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,18.0,Evening,Evening,Friday,Friday,53.4,Supply
9,267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6,7.0,Early Morning,Early Morning,Monday,Monday,39.0,Supply
10,1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5,6.0,Early Morning,Early Morning,Tuesday,Tuesday,54.0,Supply
11,1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,12.0,Afternoon,Afternoon,Tuesday,Tuesday,27.0,Supply
12,2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,5.0,Early Morning,Early Morning,Wednesday,Wednesday,33.72,Supply
13,3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,9.0,Morning,Morning,Wednesday,Wednesday,73.43,Supply
14,3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,15.0,Afternoon,Afternoon,Wednesday,Wednesday,72.27,Supply
15,3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,18.0,Evening,Evening,Wednesday,Wednesday,57.55,Supply
16,4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,12.0,Afternoon,Afternoon,Thursday,Thursday,35.73,Supply
17,5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,23.0,Night,Night,Thursday,Thursday,54.65,Supply
18,535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10,10.0,Morning,Morning,Monday,Monday,31.0,Supply
19,960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18,19.0,Evening,Evening,Monday,Monday,38.0,Supply
20,1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11,12.0,Morning,Afternoon,Tuesday,Tuesday,66.0,Supply
21,2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15,16.0,Afternoon,Evening,Tuesday,Tuesday,54.0,Supply
22,2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18,18.0,Evening,Evening,Tuesday,Tuesday,28.0,Supply
23,3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,9.0,Morning,Morning,Wednesday,Wednesday,65.13,Supply
24,3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,22.0,Night,Night,Wednesday,Wednesday,57.08,Supply
25,5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,22.0,Night,Night,Thursday,Thursday,62.27,Supply
26,5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,3.0,Late Night,Late Night,Friday,Friday,43.08,Supply
